"OBÈINE","2018 1 otrok","2018 2 otroka","2018 3 otroci","2018 4 + otrok"
"Ajdovšèina",2002,1513,416,114
"Ankaran/Ancarano",403,205,33,5
"Apaèe",504,242,32,6
"Beltinci",1042,647,113,28
"Benedikt",262,220,50,13
"Bistrica ob Sotli",141,115,30,4
"Bled",896,625,113,18
"Bloke",132,134,34,8
"Bohinj",537,387,115,24
"Borovnica",507,365,75,23
"Bovec",371,178,35,11
"Braslovèe",623,445,112,18
"Brda",639,505,65,8
"Brezovica",1296,1051,280,59
"Brežice",2845,1797,312,60
"Cankova",237,145,14,1
"Celje",6017,3350,533,101
"Cerklje na Gorenjskem",720,642,200,51
"Cerknica",1149,913,222,60
"Cerkno",503,344,99,25
"Cerkvenjak",236,176,27,5
"Cirkulane",267,153,27,6
"Èrenšovci",486,320,63,15
"Èrna na Koroškem",373,198,31,12
"Èrnomelj",1627,1077,213,52
"Destrnik",317,201,38,6
"Divaèa",502,273,56,10
"Dobje",114,88,18,3
"Dobrepolje",370,277,133,26
"Dobrna",241,174,36,8
"Dobrova - Polhov Gradec",727,655,201,78
"Dobrovnik/Dobronak",170,89,15,6
"Dol pri Ljubljani",618,545,139,28
"Dolenjske Toplice",388,294,57,12
"Domžale",3863,3104,669,146
"Dornava",307,213,42,7
"Dravograd",1002,654,128,15
"Duplek",914,538,89,12
"Gorenja vas - Poljane",593,567,286,128
"Gorišnica",480,328,63,13
"Gorje",303,225,60,12
"Gornja Radgona",1071,548,106,23
"Gornji Grad",260,181,58,10
"Gornji Petrovci",286,121,22,4
"Grad",285,155,20,5
"Grosuplje",1976,1757,482,110
"Hajdina",490,279,49,12
"Hoèe - Slivnica",1393,813,127,38
"Hodoš/Hodos",41,17,2,3
"Horjul",264,259,77,26
"Hrastnik",1146,558,87,11
"Hrpelje - Kozina",526,339,54,6
"Idrija",1193,860,209,62
"Ig",795,617,139,24
"Ilirska Bistrica",1556,1062,146,22
"Ivanèna Gorica",1607,1374,438,95
"Izola/Isola",1950,1166,171,20
"Jesenice",2402,1478,270,41
"Jezersko",61,35,12,9
"Juršinci",268,215,31,8
"Kamnik",3027,2530,643,97
"Kanal",644,417,89,14
"Kidrièevo",821,479,72,15
"Kobarid",438,309,87,21
"Kobilje",63,40,7,3
"Koèevje",1893,1196,212,36
"Komen",413,289,54,4
"Komenda",601,567,179,31
"Koper/Capodistria",6320,3907,550,85
"Kostanjevica na Krki",285,215,42,6
"Kostel",69,30,4,2
"Kozje",363,230,57,7
"Kranj",6105,4435,1033,177
"Kranjska Gora",601,331,52,7
"Križevci",384,291,34,6
"Krško",2880,1920,439,95
"Kungota",609,323,68,15
"Kuzma",188,117,13,7
"Laško",1555,974,194,34
"Lenart",912,623,107,23
"Lendava/Lendva",1399,608,82,15
"Litija",1645,1196,297,63
"Ljubljana",31460,20343,3600,722
"Ljubno",301,217,46,11
"Ljutomer",1404,772,162,41
"Log - Dragomer",438,262,67,18
"Logatec",1350,1150,367,100
"Loška dolina",358,275,72,22
"Loški Potok",186,147,48,6
"Lovrenc na Pohorju",391,225,34,7
"Luèe",163,126,29,8
"Lukovica",535,498,168,33
"Majšperk",478,293,53,17
"Makole",248,147,31,10
"Maribor",13329,6279,959,263
"Markovci",488,348,56,13
"Medvode",1655,1430,305,67
"Mengeš",847,663,159,32
"Metlika",908,641,135,36
"Mežica",416,227,37,4
"Miklavž na Dravskem polju",869,483,70,12
"Miren - Kostanjevica",640,388,62,9
"Mirna",282,191,51,8
"Mirna Peè",290,255,72,16
"Mislinja",525,392,72,11
"Mokronog - Trebelno",302,248,71,11
"Moravèe",455,483,153,45
"Moravske Toplice",766,446,54,15
"Mozirje",476,320,82,15
"Murska Sobota",2585,1218,169,39
"Muta",419,244,51,8
"Naklo",569,470,107,34
"Nazarje",310,214,41,8
"Nova Gorica",3739,2439,420,54
"Novo mesto",3937,2900,646,149
"Odranci",195,133,28,9
"Oplotnica",480,356,68,19
"Ormož",1449,934,158,29
"Osilnica",45,21,2,1
"Pesnica",870,536,84,26
"Piran/Pirano",2208,1142,162,23
"Pivka",630,547,108,11
"Podèetrtek",394,251,54,10
"Podlehnik",227,125,26,2
"Podvelka",289,153,37,5
"Poljèane",498,319,58,10
"Polzela",706,483,105,20
"Postojna",1768,1222,285,46
"Prebold",595,377,67,10
"Preddvor",368,282,70,25
"Prevalje",739,468,95,15
"Ptuj",2939,1661,227,41
"Puconci",809,441,55,12
"Raèe - Fram",964,556,72,16
"Radeèe",518,278,53,16
"Radenci",626,368,46,9
"Radlje ob Dravi",731,467,71,16
"Radovljica",2135,1514,279,58
"Ravne na Koroškem",1331,767,123,15
"Razkrižje",156,93,24,3
"Reèica ob Savinji",245,180,37,14
"Renèe - Vogrsko",529,351,43,12
"Ribnica",944,773,229,40
"Ribnica na Pohorju",144,78,13,4
"Rogaška Slatina",1266,908,159,27
"Rogašovci",404,242,32,10
"Rogatec",372,234,38,9
"Ruše",935,499,69,9
"Selnica ob Dravi",615,324,47,12
"Semiè",423,274,60,15
"Sevnica",1878,1254,284,55
"Sežana",1484,950,154,21
"Slovenj Gradec",1963,1279,259,37
"Slovenska Bistrica",2990,2134,372,63
"Slovenske Konjice",1752,1168,244,47
"Sodražica",212,174,55,12
"Solèava",54,41,9,5
"Središèe ob Dravi",241,134,31,2
"Starše",501,320,37,10
"Straža",398,344,55,11
"Sveta Ana",242,193,44,4
"Sveta Trojica v Slov. goricah",258,176,29,3
"Sveti Andraž v Slov. goricah",147,93,20,8
"Sveti Jurij ob Šèavnici",313,232,47,14
"Sveti Jurij v Slov. goricah",245,161,38,11
"Sveti Tomaž",248,150,37,6
"Šalovci",210,98,7,2
"Šempeter - Vrtojba",738,471,70,11
"Šenèur",902,761,195,40
"Šentilj",1109,601,68,23
"Šentjernej",743,571,173,48
"Šentjur",2265,1580,300,48
"Šentrupert",241,191,61,18
"Škocjan",307,254,91,32
"Škofja Loka",2268,1796,574,145
"Škofljica",1085,966,230,39
"Šmarje pri Jelšah",1096,861,181,38
"Šmarješke Toplice",359,266,69,8
"Šmartno ob Paki",383,271,52,10
"Šmartno pri Litiji",534,447,141,39
"Šoštanj",980,679,132,37
"Štore",510,311,54,7
"Tabor",190,147,33,5
"Tišina",522,310,48,9
"Tolmin",1234,763,194,48
"Trbovlje",1958,1055,123,21
"Trebnje",1204,1013,277,63
"Trnovska vas",133,143,20,4
"Trzin",429,342,73,11
"Tržiè",1722,1113,207,49
"Turnišèe",400,252,50,9
"Velenje",3898,2373,398,62
"Velika Polana",160,117,20,2
"Velike Lašèe",410,372,111,23
"Veržej",152,104,14,0
"Videm",680,437,62,17
"Vipava",535,400,148,44
"Vitanje",232,186,43,13
"Vodice",464,450,123,29
"Vojnik",1021,680,143,38
"Vransko",286,200,60,15
"Vrhnika",1853,1404,335,68
"Vuzenica",347,200,39,5
"Zagorje ob Savi",1904,1299,261,51
"Zavrè",189,89,17,5
"Zreèe",734,521,104,8
"Žalec",2486,1602,311,57
"Železniki",597,532,211,77
"Žetale",136,117,19,8
"Žiri",447,412,141,26
"Žirovnica",558,356,64,13
"Žužemberk",428,425,112,33
