"LETO"	"NOTRANJI/MEDNARODNI PREVOZ"	"Potniki (1000)"
"2010"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	235
"2010"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	253
"2011"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	230
"2011"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	248
"2012"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	215
"2012"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	248
"2013"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	194
"2013"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	239
"2014"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	174
"2014"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	207
"2015"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	162
"2015"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	180
"2016"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	160
"2016"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	259
"2017"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	159
"2017"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	252
"2018"	"Mednarodni prevoz - potniki vstopili v Sloveniji"	164
"2018"	"Mednarodni prevoz - potniki izstopili v Sloveniji"	263
