"Letališki potniški in blagovni promet glede na prihod/odhod letal ter redne/posebne prevoze po državah prihoda/odhoda letal, Ljubljana, Letališèe Jožeta Puènika, meseèno"

"MESEC";"PRIHOD/ODHOD LETAL";"REDNI/POSEBNI PREVOZ";"DRŽAVA PRIHODA/ODHODA LETAL";"Potniki";"Tone"
"2010M01";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";39499;313.994
"2010M01";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";37927;217.514
"2010M02";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";36667;325.891
"2010M02";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";37154;268.969
"2010M03";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";44752;382.503
"2010M03";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";43185;292.890
"2010M04";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";23121;159.777
"2010M04";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";26357;129.702
"2010M05";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";63909;378.623
"2010M05";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";59011;272.692
"2010M06";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";69767;368.518
"2010M06";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";73495;297.621
"2010M07";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";93972;353.503
"2010M07";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";94971;263.728
"2010M08";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";99000;330.442
"2010M08";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";97193;246.197
"2010M09";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";79455;381.795
"2010M09";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";76619;364.879
"2010M10";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";60444;378.174
"2010M10";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";61316;290.005
"2010M11";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";42502;382.487
"2010M11";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";42416;293.568
"2010M12";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";40068;396.220
"2010M12";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";39541;372.356
"2011M01";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";38489;360.141
"2011M01";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";38236;236.851
"2011M02";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";36525;333.862
"2011M02";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";36854;256.165
"2011M03";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";44389;417.578
"2011M03";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";43727;322.662
"2011M04";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";52174;369.525
"2011M04";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";53800;288.872
"2011M05";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";61250;388.956
"2011M05";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";56426;322.838
"2011M06";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";69101;401.252
"2011M06";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";72940;304.141
"2011M07";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";85480;376.774
"2011M07";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";86780;343.987
"2011M08";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";85713;354.347
"2011M08";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";82082;253.771
"2011M09";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";73798;413.415
"2011M09";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";73398;334.345
"2011M10";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";55197;407.349
"2011M10";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";57370;317.354
"2011M11";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";42106;411.367
"2011M11";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";40804;303.372
"2011M12";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";35873;406.108
"2011M12";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";36280;333.569
"2012M01";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";32986;346.836
"2012M01";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";33602;255.317
"2012M02";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";34204;354.892
"2012M02";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";34408;284.494
"2012M03";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";41476;359.033
"2012M03";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";41037;339.310
"2012M04";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";45680;391.610
"2012M04";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";47398;329.346
"2012M05";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";52519;398.066
"2012M05";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";47671;336.402
"2012M06";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";56481;413.284
"2012M06";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";59689;341.503
"2012M07";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";71702;406.663
"2012M07";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";71869;366.828
"2012M08";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";68104;362.309
"2012M08";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";67731;315.832
"2012M09";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";64925;397.510
"2012M09";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";61883;372.226
"2012M10";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";45701;455.437
"2012M10";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";49124;411.188
"2012M11";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";39025;423.018
"2012M11";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";37354;370.543
"2012M12";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";32438;403.803
"2012M12";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";30870;351.058
"2013M01";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";31192;386.311
"2013M01";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";33174;299.733
"2013M02";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";32274;364.598
"2013M02";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";33418;295.637
"2013M03";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";41649;412.408
"2013M03";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";40136;343.372
"2013M04";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";48133;423.392
"2013M04";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";49674;356.608
"2013M05";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";60233;428.479
"2013M05";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";55255;356.171
"2013M06";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";64631;433.994
"2013M06";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";64305;368.032
"2013M07";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";76599;438.654
"2013M07";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";75600;350.477
"2013M08";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";76434;389.466
"2013M08";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";77130;286.950
"2013M09";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";68230;448.558
"2013M09";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";66906;350.693
"2013M10";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";53539;498.822
"2013M10";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";56217;369.856
"2013M11";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";42058;454.242
"2013M11";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";41455;346.420
"2013M12";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";39434;472.178
"2013M12";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";38090;371.532
"2014M01";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";36816;441.736
"2014M01";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";38501;322.472
"2014M02";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";37464;410.927
"2014M02";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";37668;331.587
"2014M03";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";43027;486.112
"2014M03";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";43297;367.933
"2014M04";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";48903;467.130
"2014M04";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";50226;367.792
"2014M05";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";55387;475.092
"2014M05";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";52014;347.672
"2014M06";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";63707;478.320
"2014M06";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";64039;333.948
"2014M07";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";74210;500.760
"2014M07";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";73661;369.319
"2014M08";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";80793;413.412
"2014M08";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";82005;300.673
"2014M09";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";71586;479.152
"2014M09";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";71485;360.398
"2014M10";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";57754;534.271
"2014M10";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";59686;397.853
"2014M11";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";42489;455.827
"2014M11";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";42018;315.055
"2014M12";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";40470;489.130
"2014M12";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";39922;361.836
"2015M01";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";35520;426.116
"2015M01";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";37576;278.825
"2015M02";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";35727;446.305
"2015M02";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";36525;306.868
"2015M03";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";45569;498.998
"2015M03";"Odhod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";45333;334.687
"2015M04";"Prihod letal";"Redni/posebni prevoz - SKUPAJ";"Države prihoda/odhoda letal - SKUPAJ";55741;500.939
