"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2010","Belgium","Thousand tonnes","54,476",""
"2010","Bulgaria","Thousand tonnes","12,939",""
"2010","Czechia","Thousand tonnes","82,900",""
"2010","Denmark","Thousand tonnes","8,121",""
"2010","Germany (until 1990 former territory of the FRG)","Thousand tonnes","355,715",""
"2010","Estonia","Thousand tonnes","46,705",""
"2010","Ireland","Thousand tonnes","568",""
"2010","Greece","Thousand tonnes","3,982",""
"2010","Spain","Thousand tonnes","21,578",""
"2010","France","Thousand tonnes","85,045",""
"2010","Croatia","Thousand tonnes","12,203",""
"2010","Italy","Thousand tonnes","84,435",""
"2010","Cyprus","Thousand tonnes",":","z"
"2010","Latvia","Thousand tonnes","49,164",""
"2010","Lithuania","Thousand tonnes","48,061",""
"2010","Luxembourg","Thousand tonnes","7,626",""
"2010","Hungary","Thousand tonnes","45,794",""
"2010","Malta","Thousand tonnes",":","z"
"2010","Netherlands","Thousand tonnes","35,536",""
"2010","Austria","Thousand tonnes","107,670",""
"2010","Poland","Thousand tonnes","216,767",""
"2010","Portugal","Thousand tonnes","10,094",""
"2010","Romania","Thousand tonnes","52,932",""
"2010","Slovenia","Thousand tonnes","16,234",""
"2010","Slovakia","Thousand tonnes","44,327",""
"2010","Finland","Thousand tonnes","35,795",""
"2010","Sweden","Thousand tonnes","68,329",""
"2010","United Kingdom","Thousand tonnes","89,241",""
"2010","Liechtenstein","Thousand tonnes","1,214",""
"2010","Norway","Thousand tonnes","27,229",""
"2010","Switzerland","Thousand tonnes","63,989",""
"2010","Montenegro","Thousand tonnes",":",""
"2010","North Macedonia","Thousand tonnes","3,097",""
"2010","Turkey","Thousand tonnes","23,816",""
"2010","Bosnia and Herzegovina","Thousand tonnes",":",""
"2011","Belgium","Thousand tonnes","55,876",""
"2011","Bulgaria","Thousand tonnes","14,152",""
"2011","Czechia","Thousand tonnes","87,096",""
"2011","Denmark","Thousand tonnes","9,276",""
"2011","Germany (until 1990 former territory of the FRG)","Thousand tonnes","374,737",""
"2011","Estonia","Thousand tonnes","48,378",""
"2011","Ireland","Thousand tonnes","611",""
"2011","Greece","Thousand tonnes","2,702",""
"2011","Spain","Thousand tonnes","23,899",""
"2011","France","Thousand tonnes","91,789",""
"2011","Croatia","Thousand tonnes","11,794",""
"2011","Italy","Thousand tonnes","91,811",""
"2011","Cyprus","Thousand tonnes",":","z"
"2011","Latvia","Thousand tonnes","59,385",""
"2011","Lithuania","Thousand tonnes","52,330",""
"2011","Luxembourg","Thousand tonnes","6,973",""
"2011","Hungary","Thousand tonnes","47,424",""
"2011","Malta","Thousand tonnes",":","z"
"2011","Netherlands","Thousand tonnes","39,174",""
"2011","Austria","Thousand tonnes","107,587",""
"2011","Poland","Thousand tonnes","248,606",""
"2011","Portugal","Thousand tonnes","9,975",""
"2011","Romania","Thousand tonnes","60,723",""
"2011","Slovenia","Thousand tonnes","17,024",""
"2011","Slovakia","Thousand tonnes","43,711",""
"2011","Finland","Thousand tonnes","34,827",""
"2011","Sweden","Thousand tonnes","67,907",""
"2011","United Kingdom","Thousand tonnes","100,364",""
"2011","Liechtenstein","Thousand tonnes","1,172",""
"2011","Norway","Thousand tonnes","28,305",""
"2011","Switzerland","Thousand tonnes","65,038",""
"2011","Montenegro","Thousand tonnes",":",""
"2011","North Macedonia","Thousand tonnes","2,770",""
"2011","Turkey","Thousand tonnes","24,753",""
"2011","Bosnia and Herzegovina","Thousand tonnes",":",""
"2012","Belgium","Thousand tonnes",":",""
"2012","Bulgaria","Thousand tonnes","12,470",""
"2012","Czechia","Thousand tonnes","82,968",""
"2012","Denmark","Thousand tonnes","7,982",""
"2012","Germany (until 1990 former territory of the FRG)","Thousand tonnes","366,140",""
"2012","Estonia","Thousand tonnes","44,725",""
"2012","Ireland","Thousand tonnes","567",""
"2012","Greece","Thousand tonnes","2,272",""
"2012","Spain","Thousand tonnes","24,903",""
"2012","France","Thousand tonnes","87,539",""
"2012","Croatia","Thousand tonnes","11,088",""
"2012","Italy","Thousand tonnes","88,505",""
"2012","Cyprus","Thousand tonnes",":","z"
"2012","Latvia","Thousand tonnes","60,601",""
"2012","Lithuania","Thousand tonnes","49,377",""
"2012","Luxembourg","Thousand tonnes","5,442",""
"2012","Hungary","Thousand tonnes","46,884",""
"2012","Malta","Thousand tonnes",":","z"
"2012","Netherlands","Thousand tonnes","37,627",""
"2012","Austria","Thousand tonnes","100,452",""
"2012","Poland","Thousand tonnes","230,878",""
"2012","Portugal","Thousand tonnes","9,701",""
"2012","Romania","Thousand tonnes","55,755",""
"2012","Slovenia","Thousand tonnes","15,828",""
"2012","Slovakia","Thousand tonnes","42,599",""
"2012","Finland","Thousand tonnes","35,267",""
"2012","Sweden","Thousand tonnes","65,789",""
"2012","United Kingdom","Thousand tonnes","115,225",""
"2012","Liechtenstein","Thousand tonnes","1,168",""
"2012","Norway","Thousand tonnes","30,273",""
"2012","Switzerland","Thousand tonnes","60,270",""
"2012","Montenegro","Thousand tonnes",":",""
"2012","North Macedonia","Thousand tonnes","2,539",""
"2012","Turkey","Thousand tonnes","24,887",""
"2012","Bosnia and Herzegovina","Thousand tonnes",":",""
"2013","Belgium","Thousand tonnes",":","c"
"2013","Bulgaria","Thousand tonnes","13,539",""
"2013","Czechia","Thousand tonnes","83,957",""
"2013","Denmark","Thousand tonnes","7,956",""
"2013","Germany (until 1990 former territory of the FRG)","Thousand tonnes","373,738",""
"2013","Estonia","Thousand tonnes","43,682",""
"2013","Ireland","Thousand tonnes","589",""
"2013","Greece","Thousand tonnes","1,980",""
"2013","Spain","Thousand tonnes","24,949",""
"2013","France","Thousand tonnes","92,712",""
"2013","Croatia","Thousand tonnes","10,661",""
"2013","Italy","Thousand tonnes","87,960",""
"2013","Cyprus","Thousand tonnes",":","z"
"2013","Latvia","Thousand tonnes","55,831",""
