"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2010","Belgium","Thousand passengers","223,198",""
"2010","Bulgaria","Thousand passengers","30,079",""
"2010","Czechia","Thousand passengers","164,642",""
"2010","Denmark","Thousand passengers","185,947",""
"2010","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,368,375",""
"2010","Estonia","Thousand passengers","4,799",""
"2010","Ireland","Thousand passengers","38,226",""
"2010","Greece","Thousand passengers","13,817",""
"2010","Spain","Thousand passengers","563,505",""
"2010","France","Thousand passengers",":","c"
"2010","Croatia","Thousand passengers","69,421",""
"2010","Italy","Thousand passengers","838,892",""
"2010","Cyprus","Thousand passengers",":","z"
"2010","Latvia","Thousand passengers","20,804",""
"2010","Lithuania","Thousand passengers","3,795",""
"2010","Luxembourg","Thousand passengers","17,995",""
"2010","Hungary","Thousand passengers","140,398",""
"2010","Malta","Thousand passengers",":","z"
"2010","Netherlands","Thousand passengers",":","c"
"2010","Austria","Thousand passengers","239,974",""
"2010","Poland","Thousand passengers","241,976",""
"2010","Portugal","Thousand passengers","152,997",""
"2010","Romania","Thousand passengers","64,272",""
"2010","Slovenia","Thousand passengers","15,782",""
"2010","Slovakia","Thousand passengers","46,509",""
"2010","Finland","Thousand passengers","68,950",""
"2010","Sweden","Thousand passengers","179,343",""
"2010","United Kingdom","Thousand passengers","1,365,918",""
"2010","Liechtenstein","Thousand passengers","96",""
"2010","Norway","Thousand passengers","59,304",""
"2010","Switzerland","Thousand passengers","492,162",""
"2010","Montenegro","Thousand passengers",":",""
"2010","North Macedonia","Thousand passengers","1,512",""
"2010","Turkey","Thousand passengers","84,174",""
"2010","Bosnia and Herzegovina","Thousand passengers",":",""
"2011","Belgium","Thousand passengers","228,753",""
"2011","Bulgaria","Thousand passengers","29,287",""
"2011","Czechia","Thousand passengers","167,789","p"
"2011","Denmark","Thousand passengers","194,428",""
"2011","Germany (until 1990 former territory of the FRG)","Thousand passengers","2,530,284",""
"2011","Estonia","Thousand passengers","4,758",""
"2011","Ireland","Thousand passengers","37,375",""
"2011","Greece","Thousand passengers","13,305",""
"2011","Spain","Thousand passengers","579,174",""
"2011","France","Thousand passengers",":","c"
"2011","Croatia","Thousand passengers","49,852",""
"2011","Italy","Thousand passengers",":","c"
"2011","Cyprus","Thousand passengers",":","z"
"2011","Latvia","Thousand passengers","20,447",""
"2011","Lithuania","Thousand passengers","4,127",""
"2011","Luxembourg","Thousand passengers","18,200",""
"2011","Hungary","Thousand passengers","145,561",""
"2011","Malta","Thousand passengers",":","z"
"2011","Netherlands","Thousand passengers",":","c"
"2011","Austria","Thousand passengers","241,526",""
"2011","Poland","Thousand passengers","239,054",""
"2011","Portugal","Thousand passengers","149,189",""
"2011","Romania","Thousand passengers","60,971",""
"2011","Slovenia","Thousand passengers","15,317",""
"2011","Slovakia","Thousand passengers","47,453",""
"2011","Finland","Thousand passengers","68,376",""
"2011","Sweden","Thousand passengers","187,055",""
"2011","United Kingdom","Thousand passengers","1,463,068",""
