"Železniški blagovni prevoz, Slovenija, letno"

"LETO";"NOTRANJI / MEDNARODNI PREVOZ";"Tone (1000)"
"2010";"Mednarodni prevoz - blago naloženo v Sloveniji";5290
"2010";"Mednarodni prevoz - blago razloženo v Sloveniji";4507
"2011";"Mednarodni prevoz - blago naloženo v Sloveniji";6328
"2011";"Mednarodni prevoz - blago razloženo v Sloveniji";4619
"2012";"Mednarodni prevoz - blago naloženo v Sloveniji";5894
"2012";"Mednarodni prevoz - blago razloženo v Sloveniji";4402
"2013";"Mednarodni prevoz - blago naloženo v Sloveniji";6502
"2013";"Mednarodni prevoz - blago razloženo v Sloveniji";5098
"2014";"Mednarodni prevoz - blago naloženo v Sloveniji";6968
"2014";"Mednarodni prevoz - blago razloženo v Sloveniji";5182
"2015";"Mednarodni prevoz - blago naloženo v Sloveniji";7166
"2015";"Mednarodni prevoz - blago razloženo v Sloveniji";5316
"2016";"Mednarodni prevoz - blago naloženo v Sloveniji";7499
"2016";"Mednarodni prevoz - blago razloženo v Sloveniji";5336
"2017";"Mednarodni prevoz - blago naloženo v Sloveniji";8390
"2017";"Mednarodni prevoz - blago razloženo v Sloveniji";5644
"2018";"Mednarodni prevoz - blago naloženo v Sloveniji";8229
"2018";"Mednarodni prevoz - blago razloženo v Sloveniji";5697
