"Železniški potniški prevoz, Slovenija, letno"

"LETO";"NOTRANJI/MEDNARODNI PREVOZ";"Potniki (1000)";"Potniški kilometri (mio.)"
"2010";"Mednarodni prevoz - potniki vstopili v Sloveniji";235;22.5
"2010";"Mednarodni prevoz - potniki izstopili v Sloveniji";253;27.3
"2011";"Mednarodni prevoz - potniki vstopili v Sloveniji";230;22.1
"2011";"Mednarodni prevoz - potniki izstopili v Sloveniji";248;25.6
"2012";"Mednarodni prevoz - potniki vstopili v Sloveniji";215;20.5
"2012";"Mednarodni prevoz - potniki izstopili v Sloveniji";248;24.4
"2013";"Mednarodni prevoz - potniki vstopili v Sloveniji";194;17.5
"2013";"Mednarodni prevoz - potniki izstopili v Sloveniji";239;25.5
"2014";"Mednarodni prevoz - potniki vstopili v Sloveniji";174;15.6
"2014";"Mednarodni prevoz - potniki izstopili v Sloveniji";207;22.3
"2015";"Mednarodni prevoz - potniki vstopili v Sloveniji";162;14.7
"2015";"Mednarodni prevoz - potniki izstopili v Sloveniji";180;19.1
"2016";"Mednarodni prevoz - potniki vstopili v Sloveniji";160;14.2
"2016";"Mednarodni prevoz - potniki izstopili v Sloveniji";259;32.1
"2017";"Mednarodni prevoz - potniki vstopili v Sloveniji";159;14.9
"2017";"Mednarodni prevoz - potniki izstopili v Sloveniji";252;30.1
"2018";"Mednarodni prevoz - potniki vstopili v Sloveniji";164;15.8
"2018";"Mednarodni prevoz - potniki izstopili v Sloveniji";263;28.9
